customerid,domestic,recency_score,frequency_score,monetary_score,cust_matrix
560926,True,1,2,3,lost_cust
13097,True,2,3,3,problem_cust
539436,True,1,1,3,lost_cust
13521,True,3,2,2,new_cust
559816,True,1,2,3,lost_cust
18102,True,3,3,3,star_cust
15615,True,3,3,3,star_cust
541827,True,1,1,3,lost_cust
13488,True,3,3,3,star_cust
17340,True,2,3,3,problem_cust
13050,True,3,3,3,star_cust
14684,True,2,3,3,problem_cust
17107,True,2,3,3,problem_cust
12433,False,3,3,3,star_cust
574950,True,2,2,3,problem_cust
17377,True,2,3,3,problem_cust
16984,True,1,2,3,lost_cust
14546,True,3,3,3,star_cust
17576,True,3,3,3,star_cust
540977,True,1,1,3,lost_cust
574076,True,2,2,3,problem_cust
574298,True,2,2,3,problem_cust
15601,True,3,3,3,star_cust
541592,True,1,1,3,lost_cust
17364,True,3,3,3,star_cust
17758,True,3,3,3,star_cust
14704,True,3,3,3,star_cust
15752,True,2,3,3,problem_cust
17799,True,3,3,3,star_cust
575177,True,2,2,3,problem_cust
540026,True,1,1,3,lost_cust
15061,True,3,3,3,star_cust
13004,True,3,3,3,star_cust
17243,True,3,3,3,star_cust
540821,True,1,1,3,lost_cust
574074,True,2,2,3,problem_cust
541695,True,1,1,3,lost_cust
16710,True,3,3,3,star_cust
541423,True,1,1,3,lost_cust
15034,True,3,3,3,star_cust
13767,True,3,3,3,star_cust
17706,True,3,3,3,star_cust
13458,True,3,3,3,star_cust
17530,True,3,3,3,star_cust
14800,True,2,3,3,problem_cust
14849,True,3,3,3,star_cust
12637,False,1,3,3,lost_cust
17865,True,2,3,3,problem_cust
558614,True,1,2,3,lost_cust
15443,True,3,3,3,star_cust
16007,True,2,3,3,problem_cust
12472,False,2,3,3,problem_cust
14587,True,3,3,3,star_cust
541219,True,1,1,3,lost_cust
14432,True,3,3,3,star_cust
13078,True,3,3,3,star_cust
16843,True,2,3,3,problem_cust
560225,True,1,2,3,lost_cust
17813,True,3,3,3,star_cust
16422,True,3,3,3,star_cust
541422,True,1,1,3,lost_cust
18116,True,1,3,3,lost_cust
16426,True,3,3,3,star_cust
541696,True,1,1,3,lost_cust
17509,True,1,3,3,lost_cust
16474,True,3,3,3,star_cust
14547,True,3,3,3,star_cust
14936,False,2,3,3,problem_cust
12757,False,3,3,3,star_cust
16133,True,3,3,3,star_cust
14903,True,3,3,3,star_cust
18055,True,3,3,3,star_cust
18122,True,3,3,3,star_cust
14711,True,3,3,3,star_cust
14688,True,3,3,3,star_cust
541104,True,1,1,3,lost_cust
15249,True,2,3,3,problem_cust
559693,True,1,2,3,lost_cust
16745,True,1,3,3,lost_cust
16393,True,3,3,3,star_cust
541424,True,1,1,3,lost_cust
16110,True,2,3,3,problem_cust
12451,False,3,3,3,star_cust
14395,True,3,3,3,star_cust
562955,True,1,2,3,lost_cust
13985,True,3,3,3,star_cust
540418,True,1,1,3,lost_cust
14701,True,3,3,3,star_cust
540646,True,1,1,3,lost_cust
12683,False,3,3,3,star_cust
14702,True,3,3,3,star_cust
13148,True,2,3,3,problem_cust
574561,True,2,2,3,problem_cust
12484,False,2,3,3,problem_cust
13709,True,3,3,3,star_cust
12720,False,3,3,3,star_cust
540995,True,1,1,3,lost_cust
15150,True,3,3,3,star_cust
16779,True,3,3,3,star_cust
17428,True,3,3,3,star_cust
559338,True,1,2,3,lost_cust
13755,True,3,3,3,star_cust
13534,True,3,3,3,star_cust
13001,True,3,3,3,star_cust
12705,False,3,3,3,star_cust
559923,True,1,2,3,lost_cust
14713,True,3,3,3,star_cust
13571,True,3,3,3,star_cust
17450,True,3,3,3,star_cust
13975,True,2,3,3,problem_cust
541497,True,1,1,3,lost_cust
13871,True,3,3,3,star_cust
540352,True,1,1,3,lost_cust
14535,True,1,3,3,lost_cust
560773,True,1,2,3,lost_cust
540468,True,1,1,3,lost_cust
550458,True,1,2,3,lost_cust
571508,True,2,2,3,problem_cust
558777,True,1,2,3,lost_cust
14071,True,3,3,3,star_cust
14583,True,3,3,2,star_cust
15570,True,3,3,3,star_cust
17965,True,2,3,3,problem_cust
15436,True,3,3,2,star_cust
13209,True,2,3,3,problem_cust
16919,True,1,3,3,lost_cust
15194,True,3,3,3,star_cust
14178,True,3,3,3,star_cust
16814,True,3,3,3,star_cust
13742,True,3,3,3,star_cust
17049,True,3,3,3,star_cust
17677,True,3,3,3,star_cust
16791,True,2,3,3,problem_cust
14680,True,2,3,3,problem_cust
13269,True,3,3,3,star_cust
16326,True,3,3,3,star_cust
559163,True,1,2,3,lost_cust
17613,True,3,3,3,star_cust
16327,True,3,3,3,star_cust
570187,True,1,2,3,lost_cust
12856,True,3,3,3,star_cust
14961,True,3,3,3,star_cust
14506,True,3,3,3,star_cust
17050,True,1,3,3,lost_cust
17625,True,3,3,3,star_cust
12839,True,3,3,3,star_cust
13418,True,3,3,3,star_cust
559506,True,1,2,3,lost_cust
15513,True,2,3,3,problem_cust
17769,True,3,3,3,star_cust
13174,True,3,2,3,star_cust
17850,True,1,3,3,lost_cust
16700,True,3,3,3,star_cust
16049,True,2,3,2,problem_cust
13102,True,3,3,3,star_cust
558774,True,1,2,3,lost_cust
558904,True,1,2,3,lost_cust
12477,False,3,3,3,star_cust
12971,True,3,3,3,star_cust
13869,True,1,3,3,lost_cust
15805,True,3,3,3,star_cust
13468,True,3,3,3,star_cust
15427,True,2,3,3,problem_cust
12766,False,3,3,3,star_cust
15382,True,3,3,3,star_cust
16940,True,2,3,3,problem_cust
15727,True,3,3,3,star_cust
15426,True,3,3,3,star_cust
550470,True,1,2,3,lost_cust
561209,True,1,2,3,lost_cust
15493,True,2,3,3,problem_cust
18223,True,3,3,3,star_cust
12626,False,3,3,3,star_cust
17571,True,2,3,3,problem_cust
16523,True,3,3,3,star_cust
546896,True,1,2,3,lost_cust
16839,True,3,3,3,star_cust
16187,True,2,3,3,problem_cust
14525,True,3,3,3,star_cust
17634,True,2,3,3,problem_cust
15708,True,2,3,3,problem_cust
559337,True,1,2,3,lost_cust
17975,True,3,3,3,star_cust
17068,True,3,3,3,star_cust
559817,True,1,2,3,lost_cust
15750,True,3,3,3,star_cust
16242,True,3,3,3,star_cust
556812,True,1,2,3,lost_cust
17284,True,1,3,3,lost_cust
570688,True,1,2,3,lost_cust
14446,True,3,3,2,star_cust
12428,False,2,3,3,problem_cust
14390,True,3,3,3,star_cust
569545,True,1,2,3,lost_cust
14057,True,2,3,3,problem_cust
16873,True,3,3,3,star_cust
562933,True,1,2,3,lost_cust
540681,True,1,1,3,lost_cust
571716,True,2,2,3,problem_cust
18225,True,3,3,3,star_cust
15453,True,3,3,3,star_cust
17686,True,3,3,3,star_cust
540154,True,1,1,3,lost_cust
572550,True,2,2,3,problem_cust
16794,True,3,3,3,star_cust
14286,True,2,3,3,problem_cust
14410,True,1,3,2,lost_cust
16115,True,3,3,3,star_cust
567671,True,1,2,3,lost_cust
16705,True,3,3,3,star_cust
552232,True,1,2,3,lost_cust
12517,False,2,3,3,problem_cust
16942,True,3,3,3,star_cust
570871,True,1,2,3,lost_cust
16440,True,3,3,3,star_cust
539492,True,1,1,3,lost_cust
541516,True,1,1,3,lost_cust
578149,True,3,2,3,new_cust
14472,True,1,3,3,lost_cust
16609,True,3,3,3,star_cust
15786,True,2,3,3,problem_cust
17870,True,3,3,3,star_cust
16684,True,3,3,3,star_cust
572553,True,2,2,3,problem_cust
15152,True,3,3,3,star_cust
17719,True,2,3,3,problem_cust
17449,True,3,3,3,star_cust
13113,True,3,3,3,star_cust
14723,True,3,3,2,star_cust
14189,True,3,3,3,star_cust
15058,True,2,3,3,problem_cust
12731,False,2,3,3,problem_cust
15271,True,3,3,3,star_cust
15984,True,3,3,3,star_cust
15834,True,1,3,3,lost_cust
17218,True,3,3,3,star_cust
16255,True,3,3,3,star_cust
14572,True,3,3,3,star_cust
12539,False,3,3,3,star_cust
15804,True,3,3,3,star_cust
17426,True,3,3,3,star_cust
568567,True,1,2,3,lost_cust
17416,True,2,3,3,problem_cust
17652,True,2,3,3,problem_cust
580610,True,3,2,3,new_cust
17596,True,3,3,3,star_cust
16728,True,2,3,2,problem_cust
14329,True,3,3,3,star_cust
17017,True,3,3,3,star_cust
13334,True,1,2,3,lost_cust
12536,False,1,1,3,lost_cust
15910,True,3,3,3,star_cust
539595,True,1,1,3,lost_cust
13178,True,2,3,3,problem_cust
564754,True,1,2,3,lost_cust
14426,True,2,3,3,problem_cust
12362,False,3,3,3,star_cust
12700,False,3,3,3,star_cust
16029,True,2,3,3,problem_cust
14191,True,3,3,3,star_cust
13599,True,3,3,3,star_cust
571713,True,2,2,3,problem_cust
568719,True,1,2,3,lost_cust
16670,True,3,3,3,star_cust
572758,True,2,2,3,problem_cust
17126,True,1,3,2,lost_cust
15532,True,2,3,3,problem_cust
570872,True,1,2,3,lost_cust
16550,True,1,3,3,lost_cust
15544,True,3,3,3,star_cust
16655,True,3,3,3,star_cust
571931,True,2,2,3,problem_cust
17528,True,3,3,3,star_cust
569372,True,1,2,3,lost_cust
13471,True,3,3,3,star_cust
14659,True,3,3,3,star_cust
14449,True,3,3,2,star_cust
16265,True,3,3,3,star_cust
17690,True,2,3,3,problem_cust
554514,True,1,2,3,lost_cust
14031,True,3,3,3,star_cust
568134,True,1,2,3,lost_cust
14810,True,2,3,3,problem_cust
14808,True,2,3,3,problem_cust
12476,False,3,3,3,star_cust
565919,True,1,2,3,lost_cust
12714,False,3,3,3,star_cust
545897,True,1,1,3,lost_cust
17716,True,3,3,3,star_cust
12359,False,1,3,3,lost_cust
16771,True,2,3,3,problem_cust
560090,True,1,2,3,lost_cust
17372,True,2,3,3,problem_cust
548894,True,1,2,3,lost_cust
569898,True,1,2,3,lost_cust
14099,True,3,3,3,star_cust
552229,True,1,2,3,lost_cust
17589,True,1,3,3,lost_cust
580612,True,3,2,3,new_cust
12709,False,3,3,3,star_cust
565840,True,1,2,3,lost_cust
16945,True,3,3,3,star_cust
17961,True,3,3,3,star_cust
550474,True,1,2,3,lost_cust
15907,True,3,3,2,star_cust
569202,True,1,2,3,lost_cust
14180,True,3,3,3,star_cust
15301,True,2,3,3,problem_cust
578833,True,3,2,3,new_cust
14146,True,3,3,3,star_cust
18226,True,2,3,3,problem_cust
556237,True,1,2,3,lost_cust
14462,True,1,3,3,lost_cust
539631,True,1,1,3,lost_cust
12957,True,3,3,3,star_cust
14030,True,3,3,3,star_cust
570690,True,1,2,3,lost_cust
15502,True,3,3,3,star_cust
16938,True,3,3,3,star_cust
550471,True,1,2,3,lost_cust
16744,True,3,3,3,star_cust
14573,True,1,3,3,lost_cust
568721,True,1,2,3,lost_cust
564974,True,1,2,3,lost_cust
572549,True,2,2,3,problem_cust
14040,True,2,3,3,problem_cust
17651,True,3,3,3,star_cust
13988,True,3,3,3,star_cust
15059,True,2,3,3,problem_cust
566060,True,1,2,3,lost_cust
560433,True,1,2,3,lost_cust
14291,True,3,3,3,star_cust
15644,True,1,3,2,lost_cust
14719,True,3,3,3,star_cust
579297,True,3,2,3,new_cust
570465,True,1,2,3,lost_cust
14755,True,3,3,3,star_cust
17191,True,2,3,3,problem_cust
15701,True,3,3,3,star_cust
16016,True,3,3,3,star_cust
16145,True,3,3,3,star_cust
12431,False,2,3,3,problem_cust
16464,True,3,3,3,star_cust
557112,True,1,2,3,lost_cust
14653,True,3,3,3,star_cust
17609,True,2,3,2,problem_cust
569374,True,1,2,3,lost_cust
16717,True,2,3,3,problem_cust
559162,True,1,2,3,lost_cust
12583,False,3,3,3,star_cust
13124,True,1,2,3,lost_cust
12490,False,3,3,3,star_cust
567668,True,1,2,3,lost_cust
540255,True,1,1,2,lost_cust
16348,True,2,3,3,problem_cust
17019,True,3,3,3,star_cust
15351,True,3,3,3,star_cust
576644,True,2,2,3,problem_cust
550500,True,1,2,3,lost_cust
16409,True,2,3,3,problem_cust
15189,True,3,3,3,star_cust
544599,True,1,1,3,lost_cust
12749,True,3,3,3,star_cust
12753,False,3,3,3,star_cust
565234,True,1,2,3,lost_cust
13198,True,3,3,3,star_cust
14529,True,1,3,2,lost_cust
17160,True,2,3,3,problem_cust
13610,True,3,3,2,star_cust
17673,True,3,3,3,star_cust
16370,True,1,3,3,lost_cust
568135,True,1,2,3,lost_cust
15531,True,3,2,3,star_cust
16722,True,3,3,3,star_cust
14277,False,3,3,3,star_cust
567901,True,1,2,3,lost_cust
16081,True,1,3,3,lost_cust
18077,True,3,3,3,star_cust
551997,True,1,2,3,lost_cust
567670,True,1,2,3,lost_cust
575138,True,2,2,3,problem_cust
566952,True,1,2,3,lost_cust
12627,False,3,3,3,star_cust
13267,True,3,3,3,star_cust
545215,True,1,1,3,lost_cust
545568,True,1,1,3,lost_cust
13527,True,2,3,3,problem_cust
573137,True,2,2,3,problem_cust
13505,False,1,3,3,lost_cust
17389,True,3,3,3,star_cust
17861,True,3,3,3,star_cust
547042,True,1,2,3,lost_cust
12662,False,3,3,3,star_cust
16592,True,3,3,3,star_cust
14422,True,3,3,3,star_cust
13013,True,3,3,3,star_cust
545895,True,1,1,3,lost_cust
554694,True,1,2,3,lost_cust
16767,True,2,3,3,problem_cust
546136,True,1,1,3,lost_cust
18145,True,3,3,3,star_cust
17730,True,3,3,3,star_cust
17827,True,3,3,3,star_cust
12378,False,1,1,3,lost_cust
17463,True,3,3,3,star_cust
15518,True,1,3,3,lost_cust
568949,True,1,2,3,lost_cust
15444,True,3,2,3,star_cust
12949,True,2,3,3,problem_cust
556108,True,1,2,3,lost_cust
16186,True,3,3,3,star_cust
15144,True,3,3,3,star_cust
16005,True,3,3,2,star_cust
15514,True,3,3,3,star_cust
581498,True,3,2,3,new_cust
13777,True,3,3,3,star_cust
14092,True,3,3,3,star_cust
17015,True,2,3,3,problem_cust
555275,True,1,2,3,lost_cust
541830,True,1,1,3,lost_cust
14530,True,2,3,3,problem_cust
14554,True,3,3,3,star_cust
565917,True,1,2,3,lost_cust
13680,True,3,3,3,star_cust
15676,True,3,3,3,star_cust
14978,True,1,3,3,lost_cust
564818,True,1,2,3,lost_cust
544812,True,1,1,3,lost_cust
569700,True,1,2,2,lost_cust
14733,True,3,3,3,star_cust
569544,True,1,2,3,lost_cust
564837,True,1,2,3,lost_cust
17348,True,3,3,2,star_cust
15572,True,3,3,3,star_cust
17593,True,3,3,3,star_cust
548373,True,1,2,3,lost_cust
14051,True,3,3,3,star_cust
12744,False,1,3,3,lost_cust
17585,True,1,3,2,lost_cust
581023,True,3,2,3,new_cust
15707,True,2,3,2,problem_cust
15622,True,2,3,3,problem_cust
17097,False,3,3,2,star_cust
17211,True,2,3,3,problem_cust
565396,True,1,2,3,lost_cust
17400,True,1,3,3,lost_cust
18096,True,3,3,2,star_cust
16121,True,1,2,2,lost_cust
15290,True,3,3,3,star_cust
16011,True,3,3,3,star_cust
13999,True,3,3,3,star_cust
16928,True,1,3,3,lost_cust
544684,True,1,1,3,lost_cust
564758,True,1,2,3,lost_cust
12481,False,3,3,3,star_cust
15808,True,1,3,3,lost_cust
555397,True,1,2,3,lost_cust
16395,True,1,3,3,lost_cust
565233,True,1,2,3,lost_cust
14698,True,3,3,3,star_cust
571257,True,1,2,3,lost_cust
544681,True,1,1,3,lost_cust
544434,True,1,1,3,lost_cust
12597,False,3,3,3,star_cust
14044,True,2,3,2,problem_cust
16905,True,3,3,3,star_cust
17419,True,3,3,3,star_cust
17228,True,3,3,3,star_cust
13735,True,2,3,3,problem_cust
16657,True,3,3,2,star_cust
16556,True,1,3,3,lost_cust
13764,True,1,3,3,lost_cust
561217,True,1,2,3,lost_cust
564840,True,1,2,3,lost_cust
563193,True,1,2,3,lost_cust
14419,True,3,3,2,star_cust
13842,True,1,3,3,lost_cust
13232,True,3,3,3,star_cust
15787,True,2,3,2,problem_cust
15046,True,3,3,3,star_cust
14735,True,3,3,3,star_cust
562843,True,1,2,3,lost_cust
564817,True,1,2,3,lost_cust
559051,True,1,2,2,lost_cust
16719,True,3,3,3,star_cust
17323,True,3,3,2,star_cust
14060,True,3,3,3,star_cust
546008,True,1,1,3,lost_cust
14524,True,2,3,3,problem_cust
16891,True,3,3,2,star_cust
581238,True,3,2,3,new_cust
547248,True,1,2,3,lost_cust
16458,True,3,3,3,star_cust
18204,True,1,3,3,lost_cust
575947,True,2,2,3,problem_cust
567667,True,1,2,2,lost_cust
12607,False,,,,
557502,True,1,2,3,lost_cust
562934,True,1,2,3,lost_cust
13266,True,3,3,3,star_cust
14132,True,3,3,3,star_cust
13614,True,2,3,3,problem_cust
551995,True,1,2,3,lost_cust
17590,True,3,3,3,star_cust
15296,True,2,3,3,problem_cust
16525,True,3,3,3,star_cust
17858,True,3,3,3,star_cust
15521,True,2,3,3,problem_cust
14649,True,3,3,3,star_cust
13448,True,3,3,3,star_cust
14963,True,3,3,3,star_cust
17404,False,3,3,3,star_cust
17091,True,3,3,3,star_cust
17725,True,3,3,3,star_cust
565232,True,1,2,3,lost_cust
543467,True,1,1,3,lost_cust
566602,True,1,2,3,lost_cust
14709,True,3,3,3,star_cust
16401,True,3,3,3,star_cust
18172,True,3,3,3,star_cust
13700,True,2,3,3,problem_cust
577531,True,3,2,3,new_cust
14591,True,3,3,3,star_cust
18125,True,2,3,2,problem_cust
542255,True,1,1,3,lost_cust
566949,True,1,2,3,lost_cust
16782,True,3,3,3,star_cust
15114,True,2,3,3,problem_cust
566757,True,1,2,2,lost_cust
563195,True,1,2,3,lost_cust
15379,True,1,3,3,lost_cust
562715,True,1,2,3,lost_cust
548893,True,1,2,3,lost_cust
556932,True,1,2,3,lost_cust
17777,True,2,3,2,problem_cust
13047,True,1,3,3,lost_cust
15298,True,3,3,3,star_cust
548516,True,1,2,3,lost_cust
564835,True,1,2,3,lost_cust
13736,True,3,2,2,star_cust
14499,True,2,3,2,problem_cust
567673,True,1,2,3,lost_cust
14221,True,2,3,3,problem_cust
552514,True,1,2,3,lost_cust
16743,True,2,3,3,problem_cust
15416,True,1,3,3,lost_cust
14498,True,2,3,3,problem_cust
564221,True,1,2,3,lost_cust
564838,True,1,2,3,lost_cust
17894,True,1,3,2,lost_cust
545464,True,1,1,3,lost_cust
15756,True,1,3,2,lost_cust
550496,True,1,2,3,lost_cust
14388,True,3,3,3,star_cust
18022,True,2,1,2,lost_cust
557938,True,1,2,3,lost_cust
15858,True,3,3,3,star_cust
565617,True,1,2,3,lost_cust
17750,True,3,3,3,star_cust
549295,True,1,2,3,lost_cust
557324,True,1,2,3,lost_cust
17790,True,2,3,3,problem_cust
16818,True,3,3,3,star_cust
563549,True,1,2,3,lost_cust
12417,False,3,3,3,star_cust
561515,True,1,2,3,lost_cust
15484,True,3,3,3,star_cust
17085,True,1,3,3,lost_cust
571082,True,1,2,2,lost_cust
15764,True,1,3,3,lost_cust
566446,True,1,2,3,lost_cust
13634,True,2,3,3,problem_cust
565841,True,1,2,3,lost_cust
562024,True,1,2,3,lost_cust
546007,True,1,1,2,lost_cust
556636,True,1,2,3,lost_cust
568716,True,1,2,2,lost_cust
12553,False,3,3,3,star_cust
13285,True,3,3,3,star_cust
12449,False,3,3,3,star_cust
550953,True,1,2,3,lost_cust
564760,True,1,2,3,lost_cust
545667,True,1,1,2,lost_cust
547386,True,1,2,3,lost_cust
539750,True,1,1,3,lost_cust
566221,True,1,2,3,lost_cust
15955,True,2,3,3,problem_cust
12437,False,3,3,3,star_cust
564757,True,1,2,3,lost_cust
556813,True,1,2,3,lost_cust
562553,True,1,2,3,lost_cust
16726,True,2,3,3,problem_cust
561513,True,1,2,2,lost_cust
16626,True,3,3,3,star_cust
544186,True,1,1,3,lost_cust
12955,True,3,3,3,star_cust
552508,True,1,2,3,lost_cust
17341,True,1,3,2,lost_cust
14227,True,2,3,3,problem_cust
16015,True,3,3,2,star_cust
557644,True,1,2,2,lost_cust
14401,True,3,3,3,star_cust
15009,True,3,3,3,star_cust
13184,True,3,3,3,star_cust
16469,True,2,3,2,problem_cust
12347,False,3,3,3,star_cust
549155,True,1,2,2,lost_cust
555510,True,1,2,3,lost_cust
574856,True,2,2,3,problem_cust
543826,True,1,1,3,lost_cust
16533,True,3,3,2,star_cust
561651,True,1,2,3,lost_cust
17472,True,1,3,2,lost_cust
562113,True,1,2,3,lost_cust
567507,True,1,2,3,lost_cust
14083,True,3,3,2,star_cust
553718,True,1,2,3,lost_cust
13881,True,3,3,3,star_cust
542344,True,1,1,3,lost_cust
16059,True,1,3,3,lost_cust
14307,True,1,3,3,lost_cust
14461,True,1,3,3,lost_cust
15525,True,3,3,2,star_cust
13588,True,3,3,3,star_cust
565847,True,1,2,3,lost_cust
546884,True,1,2,3,lost_cust
17974,True,2,3,2,problem_cust
16200,True,3,2,2,star_cust
13536,True,3,3,3,star_cust
16880,True,2,3,3,problem_cust
542906,True,1,1,3,lost_cust
545216,True,1,1,2,lost_cust
562264,True,1,2,3,lost_cust
17997,True,1,3,2,lost_cust
557937,True,1,2,2,lost_cust
15696,True,2,3,3,problem_cust
13523,True,2,3,3,problem_cust
17567,True,3,3,3,star_cust
13772,True,2,3,3,problem_cust
542541,True,1,1,3,lost_cust
15974,True,2,3,3,problem_cust
15632,True,3,3,3,star_cust
18245,True,3,3,3,star_cust
13566,True,2,2,2,problem_cust
13015,True,2,3,3,problem_cust
15738,True,3,3,3,star_cust
547788,True,1,2,3,lost_cust
555150,True,1,2,3,lost_cust
546891,True,1,2,2,lost_cust
16180,True,1,3,3,lost_cust
16755,True,1,3,3,lost_cust
579694,True,3,2,3,new_cust
564756,True,1,2,2,lost_cust
564755,True,1,2,2,lost_cust
14639,True,2,3,3,problem_cust
13558,True,3,3,2,star_cust
555276,True,1,2,3,lost_cust
12836,True,1,3,3,lost_cust
16607,True,3,3,3,star_cust
13838,True,3,3,2,star_cust
547249,True,1,2,3,lost_cust
13139,True,3,3,3,star_cust
13815,False,3,3,3,star_cust
16442,True,3,3,2,star_cust
541999,True,1,1,2,lost_cust
14112,True,3,3,3,star_cust
572897,True,2,2,3,problem_cust
