invoiceno,invoicedate
566495,2011-09-13 11:14:00
548522,2011-03-31 16:43:00
573876,2011-11-01 12:48:00
552285,2011-05-08 12:58:00
576665,2011-11-16 11:46:00
558240,2011-06-27 15:27:00
536982,2010-12-03 14:27:00
573553,2011-10-31 13:48:00
544089,2011-02-15 17:51:00
571909,2011-10-19 15:08:00
543399,2011-02-08 11:07:00
554151,2011-05-23 11:07:00
543182,2011-02-04 10:40:00
580632,2011-12-05 12:16:00
573340,2011-10-30 11:55:00
555924,2011-06-07 17:12:00
543358,2011-02-07 14:04:00
552000,2011-05-05 15:56:00
549577,2011-04-11 08:16:00
566451,2011-09-12 16:14:00
568703,2011-09-28 15:21:00
543546,2011-02-09 16:52:00
554054,2011-05-20 15:29:00
569524,2011-10-04 14:42:00
538351,2010-12-10 15:17:00
544598,2011-02-21 18:10:00
575117,2011-11-08 14:22:00
580399,2011-12-04 11:45:00
552702,2011-05-10 16:00:00
566281,2011-09-11 14:15:00
548203,2011-03-29 16:41:00
536865,2010-12-03 11:28:00
571039,2011-10-13 12:59:00
570458,2011-10-10 15:39:00
565766,2011-09-06 14:23:00
552493,2011-05-09 16:21:00
556917,2011-06-15 13:37:00
547385,2011-03-22 15:48:00
573151,2011-10-27 20:09:00
543530,2011-02-09 12:46:00
553549,2011-05-17 16:09:00
538518,2010-12-12 16:14:00
564820,2011-08-30 12:16:00
542107,2011-01-25 13:38:00
551174,2011-04-26 17:02:00
539718,2010-12-21 13:06:00
555925,2011-06-07 17:13:00
578289,2011-11-23 14:07:00
574532,2011-11-04 14:19:00
569229,2011-10-02 14:56:00
555383,2011-06-02 15:13:00
555722,2011-06-06 16:06:00
549525,2011-04-08 15:44:00
542664,2011-01-31 12:14:00
570818,2011-10-12 12:47:00
571305,2011-10-17 09:55:00
576779,2011-11-16 13:25:00
581334,2011-12-08 12:07:00
568057,2011-09-23 12:56:00
559894,2011-07-13 12:06:00
558066,2011-06-24 15:45:00
578305,2011-11-23 15:44:00
553389,2011-05-16 16:37:00
576076,2011-11-13 16:18:00
574740,2011-11-06 16:07:00
544824,2011-02-24 09:32:00
571054,2011-10-13 13:58:00
540473,2011-01-07 14:31:00
543300,2011-02-07 11:42:00
545188,2011-02-28 15:19:00
551340,2011-04-27 17:23:00
550651,2011-04-19 16:52:00
575070,2011-11-08 12:58:00
573347,2011-10-30 12:26:00
572669,2011-10-25 13:10:00
566408,2011-09-12 13:43:00
543345,2011-02-07 12:29:00
569137,2011-09-30 14:45:00
572295,2011-10-23 13:49:00
576593,2011-11-15 14:48:00
543097,2011-02-03 11:41:00
569670,2011-10-05 13:47:00
551351,2011-04-28 10:20:00
563928,2011-08-21 15:17:00
569846,2011-10-06 13:42:00
580305,2011-12-02 14:26:00
578074,2011-11-22 16:06:00
551014,2011-04-26 11:04:00
578781,2011-11-25 11:54:00
563909,2011-08-21 12:36:00
564727,2011-08-28 12:31:00
548612,2011-04-01 11:34:00
580520,2011-12-04 14:55:00
568060,2011-09-23 13:11:00
572513,2011-10-24 14:36:00
579472,2011-11-29 15:09:00
540832,2011-01-11 14:42:00
541971,2011-01-24 13:48:00
579458,2011-11-29 14:38:00
566787,2011-09-15 10:31:00
558105,2011-06-26 14:54:00
578541,2011-11-24 15:01:00
571682,2011-10-18 14:00:00
568411,2011-09-27 10:52:00
563924,2011-08-21 14:32:00
545078,2011-02-28 10:15:00
572035,2011-10-20 12:03:00
569469,2011-10-04 12:22:00
580884,2011-12-06 12:21:00
580136,2011-12-01 19:42:00
553035,2011-05-12 20:13:00
576463,2011-11-15 11:37:00
551719,2011-05-03 16:09:00
568517,2011-09-27 12:52:00
578757,2011-11-25 11:41:00
577106,2011-11-17 17:18:00
537643,2010-12-07 15:34:00
564734,2011-08-28 13:32:00
555845,2011-06-07 13:19:00
537642,2010-12-07 15:33:00
557645,2011-06-21 17:08:00
558068,2011-06-24 15:51:00
543985,2011-02-15 09:44:00
580677,2011-12-05 14:40:00
562558,2011-08-05 16:43:00
536796,2010-12-02 15:46:00
568095,2011-09-23 14:49:00
581146,2011-12-07 13:53:00
545713,2011-03-07 10:12:00
544586,2011-02-21 15:04:00
538153,2010-12-09 16:31:00
578068,2011-11-22 15:45:00
563076,2011-08-11 16:12:00
571671,2011-10-18 13:15:00
567184,2011-09-18 15:41:00
537126,2010-12-05 12:13:00
563565,2011-08-17 14:22:00
566985,2011-09-16 10:42:00
564061,2011-08-22 14:38:00
544657,2011-02-22 13:08:00
547910,2011-03-28 12:23:00
539708,2010-12-21 12:18:00
538508,2010-12-12 13:32:00
545978,2011-03-08 12:19:00
580513,2011-12-04 13:59:00
544776,2011-02-23 11:39:00
537135,2010-12-05 12:35:00
560368,2011-07-18 12:25:00
573601,2011-10-31 15:24:00
555149,2011-05-31 15:49:00
575516,2011-11-10 10:45:00
566976,2011-09-16 09:27:00
581412,2011-12-08 14:38:00
580695,2011-12-05 16:03:00
573362,2011-10-30 13:06:00
569669,2011-10-05 13:47:00
580527,2011-12-04 15:19:00
542898,2011-02-01 14:01:00
568188,2011-09-25 14:33:00
547651,2011-03-24 12:11:00
561113,2011-07-25 12:09:00
570197,2011-10-07 15:45:00
567170,2011-09-18 12:40:00
569555,2011-10-05 08:17:00
574544,2011-11-04 14:49:00
540355,2011-01-06 15:11:00
574547,2011-11-04 15:08:00
544214,2011-02-17 11:19:00
579555,2011-11-30 11:08:00
538149,2010-12-09 16:27:00
571046,2011-10-13 13:35:00
577058,2011-11-17 14:29:00
567853,2011-09-22 13:31:00
544074,2011-02-15 14:49:00
562593,2011-08-07 15:43:00
542192,2011-01-26 11:27:00
538148,2010-12-09 16:26:00
545690,2011-03-06 12:46:00
553393,2011-05-16 16:46:00
578942,2011-11-27 13:29:00
544450,2011-02-20 12:23:00
577855,2011-11-22 11:18:00
539737,2010-12-21 15:19:00
550512,2011-04-18 16:31:00
574741,2011-11-06 16:13:00
566291,2011-09-11 15:31:00
573373,2011-10-30 13:37:00
566913,2011-09-15 14:07:00
541871,2011-01-24 09:41:00
546670,2011-03-15 15:37:00
566581,2011-09-13 13:47:00
543237,2011-02-04 13:39:00
558232,2011-06-27 14:30:00
572318,2011-10-23 16:19:00
580611,2011-12-05 11:49:00
578852,2011-11-27 11:12:00
578262,2011-11-23 13:27:00
541684,2011-01-20 15:22:00
578088,2011-11-22 16:47:00
575972,2011-11-13 13:01:00
541711,2011-01-21 11:18:00
568193,2011-09-25 14:37:00
537645,2010-12-07 15:34:00
569261,2011-10-03 11:34:00
555284,2011-06-02 09:37:00
573029,2011-10-27 13:33:00
572306,2011-10-23 15:11:00
543713,2011-02-11 11:46:00
579399,2011-11-29 12:09:00
564335,2011-08-24 14:23:00
571034,2011-10-13 12:47:00
537144,2010-12-05 13:00:00
572653,2011-10-25 12:12:00
579002,2011-11-27 16:27:00
560271,2011-07-17 14:51:00
555558,2011-06-05 14:06:00
576062,2011-11-13 15:30:00
555851,2011-06-07 13:37:00
553182,2011-05-15 12:21:00
543448,2011-02-08 12:12:00
569843,2011-10-06 13:29:00
564065,2011-08-22 15:05:00
543306,2011-02-07 11:56:00
541596,2011-01-19 16:19:00
540278,2011-01-06 12:31:00
557878,2011-06-23 13:13:00
562540,2011-08-05 15:38:00
541848,2011-01-23 13:31:00
578255,2011-11-23 12:58:00
546774,2011-03-16 15:45:00
573496,2011-10-31 11:59:00
574673,2011-11-06 12:26:00
551982,2011-05-05 13:56:00
561195,2011-07-25 13:57:00
574941,2011-11-07 17:42:00
556784,2011-06-14 13:15:00
C570867,2011-10-12 16:17:00
570467,2011-10-10 16:06:00
568531,2011-09-27 13:49:00
541518,2011-01-19 09:05:00
560996,2011-07-22 13:53:00
554956,2011-05-27 15:17:00
569129,2011-09-30 13:40:00
575867,2011-11-11 12:44:00
577228,2011-11-18 12:07:00
578995,2011-11-27 15:59:00
579001,2011-11-27 16:19:00
572066,2011-10-20 13:07:00
580469,2011-12-04 12:32:00
571105,2011-10-13 16:01:00
569653,2011-10-05 12:52:00
560841,2011-07-21 12:25:00
541265,2011-01-16 16:23:00
556905,2011-06-15 13:05:00
570455,2011-10-10 15:27:00
556910,2011-06-15 13:25:00
556056,2011-06-08 13:35:00
550331,2011-04-17 13:43:00
567462,2011-09-20 12:35:00
576365,2011-11-14 17:55:00
541485,2011-01-18 13:05:00
557217,2011-06-17 12:30:00
571328,2011-10-17 11:27:00
575073,2011-11-08 13:10:00
545530,2011-03-03 13:45:00
545227,2011-03-01 09:35:00
555835,2011-06-07 12:34:00
553856,2011-05-19 13:28:00
573415,2011-10-30 16:17:00
551468,2011-04-28 16:21:00
574722,2011-11-06 14:45:00
566562,2011-09-13 12:18:00
578678,2011-11-24 19:59:00
540469,2011-01-07 14:04:00
563614,2011-08-18 08:51:00
562377,2011-08-04 15:04:00
572499,2011-10-24 14:10:00
562789,2011-08-09 13:50:00
548984,2011-04-05 12:37:00
553014,2011-05-12 18:49:00
576078,2011-11-13 16:22:00
544177,2011-02-16 14:27:00
571281,2011-10-16 13:23:00
546429,2011-03-13 15:25:00
574063,2011-11-02 14:31:00
569415,2011-10-04 10:14:00
579408,2011-11-29 12:34:00
546850,2011-03-17 13:20:00
545226,2011-03-01 09:33:00
580272,2011-12-02 12:52:00
560723,2011-07-20 13:53:00
541869,2011-01-24 09:35:00
547860,2011-03-27 12:21:00
572058,2011-10-20 12:43:00
548987,2011-04-05 12:50:00
541855,2011-01-23 14:59:00
548708,2011-04-03 12:41:00
557468,2011-06-20 13:14:00
574683,2011-11-06 12:50:00
577473,2011-11-20 11:28:00
552013,2011-05-05 17:34:00
576592,2011-11-15 14:47:00
577557,2011-11-20 15:36:00
559807,2011-07-12 14:48:00
563404,2011-08-16 11:04:00
542617,2011-01-30 15:48:00
562517,2011-08-05 12:27:00
564733,2011-08-28 13:18:00
577150,2011-11-18 09:48:00
566577,2011-09-13 13:29:00
571846,2011-10-19 12:35:00
558906,2011-07-04 16:35:00
551173,2011-04-26 16:54:00
542303,2011-01-27 11:05:00
576686,2011-11-16 12:08:00
574043,2011-11-02 13:13:00
553390,2011-05-16 16:41:00
553148,2011-05-13 14:09:00
566400,2011-09-12 13:16:00
569521,2011-10-04 14:33:00
541789,2011-01-21 13:07:00
562101,2011-08-02 14:04:00
576075,2011-11-13 16:16:00
577549,2011-11-20 15:00:00
555124,2011-05-31 15:26:00
558096,2011-06-26 13:24:00
540550,2011-01-10 09:11:00
540647,2011-01-10 14:57:00
556080,2011-06-08 15:21:00
576688,2011-11-16 12:16:00
560359,2011-07-18 11:47:00
544463,2011-02-20 14:31:00
575895,2011-11-11 14:50:00
576857,2011-11-16 15:52:00
539738,2010-12-21 15:19:00
580640,2011-12-05 12:51:00
568657,2011-09-28 12:22:00
577773,2011-11-21 15:57:00
578998,2011-11-27 16:05:00
564356,2011-08-24 15:47:00
552883,2011-05-12 10:13:00
547498,2011-03-23 12:24:00
550193,2011-04-15 09:27:00
576650,2011-11-16 10:34:00
550477,2011-04-18 14:01:00
548711,2011-04-03 14:24:00
542231,2011-01-26 13:40:00
577034,2011-11-17 13:16:00
573405,2011-10-30 15:55:00
541809,2011-01-21 14:59:00
574863,2011-11-07 12:29:00
567474,2011-09-20 12:53:00
568650,2011-09-28 11:56:00
578519,2011-11-24 13:56:00
571676,2011-10-18 13:29:00
574660,2011-11-06 11:55:00
575760,2011-11-11 10:50:00
554275,2011-05-23 13:17:00
579124,2011-11-28 12:14:00
569234,2011-10-02 15:33:00
564856,2011-08-31 09:11:00
574304,2011-11-03 16:30:00
540238,2011-01-05 14:44:00
565434,2011-09-04 13:35:00
575959,2011-11-13 12:27:00
547867,2011-03-27 13:56:00
548162,2011-03-29 13:42:00
576255,2011-11-14 14:09:00
570598,2011-10-11 11:55:00
560650,2011-07-20 11:38:00
545872,2011-03-07 14:51:00
546388,2011-03-11 13:43:00
557621,2011-06-21 14:00:00
550320,2011-04-17 12:38:00
562608,2011-08-08 11:45:00
571442,2011-10-17 13:39:00
548666,2011-04-01 14:58:00
562779,2011-08-09 12:58:00
538827,2010-12-14 12:59:00
568191,2011-09-25 14:37:00
542109,2011-01-25 13:44:00
573038,2011-10-27 13:48:00
571475,2011-10-17 14:42:00
561600,2011-07-28 11:29:00
574678,2011-11-06 12:36:00
572475,2011-10-24 13:37:00
548011,2011-03-29 11:14:00
562928,2011-08-10 15:29:00
571433,2011-10-17 13:19:00
576071,2011-11-13 16:03:00
569414,2011-10-04 10:11:00
538849,2010-12-14 13:31:00
581425,2011-12-08 15:31:00
579301,2011-11-29 11:32:00
577297,2011-11-18 12:48:00
569568,2011-10-05 09:57:00
539988,2010-12-23 16:06:00
580635,2011-12-05 12:30:00
558540,2011-06-30 12:15:00
552659,2011-05-10 15:03:00
540953,2011-01-12 13:16:00
574240,2011-11-03 12:45:00
567878,2011-09-22 14:42:00
538198,2010-12-10 11:01:00
545695,2011-03-06 14:15:00
537374,2010-12-06 12:55:00
562574,2011-08-07 12:42:00
558888,2011-07-04 15:29:00
563555,2011-08-17 13:21:00
562711,2011-08-08 14:53:00
570210,2011-10-09 10:48:00
542794,2011-02-01 10:56:00
578814,2011-11-25 13:40:00
580137,2011-12-01 19:54:00
568049,2011-09-23 12:38:00
576364,2011-11-14 17:40:00
557956,2011-06-23 19:20:00
577174,2011-11-18 10:58:00
559921,2011-07-13 15:42:00
574034,2011-11-02 12:45:00
571183,2011-10-14 11:08:00
551339,2011-04-27 17:18:00
565129,2011-09-01 12:41:00
575726,2011-11-10 19:12:00
577506,2011-11-20 12:40:00
549690,2011-04-11 13:41:00
563638,2011-08-18 10:36:00
537196,2010-12-05 13:55:00
537852,2010-12-08 15:56:00
559133,2011-07-06 13:13:00
575583,2011-11-10 11:55:00
545658,2011-03-04 14:13:00
562846,2011-08-10 09:29:00
539475,2010-12-19 14:41:00
564230,2011-08-24 10:22:00
551547,2011-05-03 09:44:00
555728,2011-06-06 16:41:00
576326,2011-11-14 15:18:00
557311,2011-06-19 15:36:00
557442,2011-06-20 12:53:00
547374,2011-03-22 13:54:00
541221,2011-01-14 14:28:00
567482,2011-09-20 13:42:00
578926,2011-11-27 12:24:00
568894,2011-09-29 13:04:00
536464,2010-12-01 12:23:00
578949,2011-11-27 14:30:00
571498,2011-10-17 15:06:00
543371,2011-02-07 14:53:00
